id,rainfall
2400,1
2401,1
2402,1
2403,1
2404,1
2405,1
2406,1
2407,1
2408,0
2409,1
2410,1
2411,1
2412,1
2413,1
2414,1
2415,0
2416,1
2417,1
2418,1
2419,0
2420,0
2421,0
2422,1
2423,1
2424,1
2425,0
2426,0
2427,0
2428,1
2429,0
2430,1
2431,1
2432,1
2433,0
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2440,1
2441,1
2442,1
2443,0
2444,1
2445,1
2446,1
2447,1
2448,1
2449,0
2450,1
2451,1
2452,1
2453,1
2454,1
2455,0
2456,0
2457,1
2458,1
2459,0
2460,1
2461,1
2462,1
2463,1
2464,1
2465,1
2466,0
2467,0
2468,0
2469,0
2470,0
2471,0
2472,1
2473,0
2474,0
2475,0
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2482,1
2483,1
2484,1
2485,1
2486,1
2487,1
2488,1
2489,1
2490,1
2491,0
2492,1
2493,1
2494,1
2495,1
2496,1
2497,0
2498,1
2499,0
2500,0
2501,1
2502,0
2503,1
2504,1
2505,0
2506,1
2507,1
2508,1
2509,0
2510,1
2511,1
2512,1
2513,1
2514,1
2515,1
2516,1
2517,1
2518,1
2519,1
2520,1
2521,1
2522,0
2523,1
2524,0
2525,1
2526,0
2527,1
2528,1
2529,1
2530,1
2531,1
2532,0
2533,1
2534,1
2535,0
2536,1
2537,1
2538,1
2539,1
2540,1
2541,1
2542,1
2543,1
2544,1
2545,1
2546,1
2547,1
2548,1
2549,1
2550,0
2551,1
2552,1
2553,1
2554,1
2555,1
2556,1
2557,1
2558,1
2559,1
2560,0
2561,1
2562,0
2563,1
2564,1
2565,0
2566,1
2567,1
2568,1
2569,1
2570,0
2571,0
2572,1
2573,0
2574,0
2575,1
2576,1
2577,1
2578,0
2579,1
2580,1
2581,0
2582,1
2583,1
2584,1
2585,1
2586,1
2587,1
2588,1
2589,0
2590,1
2591,1
2592,1
2593,1
2594,1
2595,1
2596,1
2597,0
2598,1
2599,0
2600,1
2601,1
2602,0
2603,0
2604,1
2605,1
2606,1
2607,1
2608,1
2609,1
2610,1
2611,1
2612,1
2613,0
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2623,1
2624,1
2625,1
2626,0
2627,0
2628,1
2629,0
2630,1
2631,1
2632,1
2633,1
2634,0
2635,1
2636,1
2637,1
2638,1
2639,0
2640,1
2641,1
2642,1
2643,1
2644,1
2645,1
2646,1
2647,1
2648,1
2649,1
2650,1
2651,1
2652,1
2653,1
2654,1
2655,1
2656,1
2657,1
2658,1
2659,1
2660,1
2661,1
2662,1
2663,1
2664,0
2665,1
2666,1
2667,1
2668,1
2669,1
2670,1
2671,1
2672,1
2673,1
2674,1
2675,0
2676,1
2677,1
2678,1
2679,0
2680,0
2681,1
2682,1
2683,1
2684,1
2685,1
2686,1
2687,1
2688,1
2689,1
2690,1
2691,1
2692,1
2693,1
2694,1
2695,1
2696,1
2697,1
2698,0
2699,0
2700,0
2701,1
2702,1
2703,1
2704,0
2705,0
2706,1
2707,0
2708,1
2709,0
2710,0
2711,0
2712,0
2713,1
2714,1
2715,1
2716,0
2717,1
2718,0
2719,1
2720,0
2721,1
2722,0
2723,1
2724,0
2725,1
2726,0
2727,1
2728,1
2729,1
2730,0
2731,1
2732,1
2733,1
2734,1
2735,0
2736,1
2737,0
2738,1
2739,0
2740,0
2741,0
2742,0
2743,1
2744,1
2745,0
2746,0
2747,0
2748,0
2749,0
2750,0
2751,0
2752,0
2753,0
2754,0
2755,0
2756,1
2757,0
2758,1
2759,0
2760,0
2761,0
2762,1
2763,0
2764,0
2765,1
2766,1
2767,0
2768,0
2769,1
2770,1
2771,1
2772,1
2773,0
2774,0
2775,1
2776,0
2777,1
2778,1
2779,1
2780,1
2781,1
2782,1
2783,0
2784,1
2785,1
2786,1
2787,1
2788,1
2789,1
2790,1
2791,0
2792,1
2793,1
2794,0
2795,1
2796,0
2797,1
2798,0
2799,1
2800,1
2801,0
2802,1
2803,1
2804,1
2805,1
2806,0
2807,0
2808,1
2809,1
2810,0
2811,1
2812,1
2813,1
2814,1
2815,0
2816,0
2817,0
2818,0
2819,1
2820,0
2821,1
2822,0
2823,1
2824,1
2825,0
2826,0
2827,1
2828,0
2829,1
2830,0
2831,1
2832,1
2833,1
2834,0
2835,1
2836,0
2837,1
2838,1
2839,1
2840,0
2841,0
2842,0
2843,1
2844,0
2845,1
2846,1
2847,1
2848,1
2849,1
2850,1
2851,1
2852,1
2853,1
2854,1
2855,1
2856,1
2857,1
2858,0
2859,1
2860,0
2861,1
2862,1
2863,1
2864,1
2865,0
2866,1
2867,1
2868,1
2869,0
2870,0
2871,1
2872,1
2873,1
2874,1
2875,1
2876,0
2877,1
2878,1
2879,1
2880,1
2881,1
2882,1
2883,1
2884,1
2885,1
2886,1
2887,1
2888,1
2889,0
2890,1
2891,1
2892,1
2893,0
2894,0
2895,0
2896,1
2897,0
2898,0
2899,0
2900,0
2901,1
2902,0
2903,0
2904,1
2905,1
2906,0
2907,1
2908,1
2909,1
2910,1
2911,1
2912,1
2913,1
2914,1
2915,1
2916,0
2917,1
2918,1
2919,0
