,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed
24,1012.5,23.8,22.2,20.4,20.8,84.0,88.0,0.0,70.0,30.2
25,1019.5,25.3,22.3,21.0,20.6,76.0,78.0,10.2,80.0,10.2
26,1013.4,23.8,21.1,19.8,19.6,92.0,95.0,0.0,40.0,15.9
27,1017.0,21.7,20.3,19.4,17.9,80.0,80.0,2.6,50.0,14.5
28,1019.9,22.9,20.9,19.2,17.3,86.0,79.0,0.6,50.0,21.4
29,1018.1,23.1,20.8,19.2,15.5,74.0,49.0,7.7,40.0,14.3
30,1018.5,21.3,20.3,19.3,15.3,75.0,69.0,7.7,70.0,35.1
31,1019.5,23.2,22.1,20.1,18.8,82.0,69.0,1.1,40.0,20.5
32,1020.4,21.3,18.8,17.3,13.6,52.0,56.0,2.9,40.0,21.3
33,1024.4,21.6,19.3,17.4,15.3,90.0,95.0,4.3,70.0,35.3
34,1017.0,21.5,20.6,18.6,17.0,91.0,88.0,0.0,50.0,14.3
35,1023.1,18.2,17.1,16.3,9.5,78.0,89.0,0.0,50.0,28.4
36,1014.4,22.9,21.4,20.0,17.8,79.0,88.0,0.0,40.0,18.4
37,1021.8,21.1,18.2,17.8,16.9,74.0,44.0,9.5,20.0,26.7
38,1023.1,20.4,17.8,14.8,15.0,75.0,43.0,9.2,60.0,11.9
39,1018.9,21.9,19.3,17.2,16.9,79.0,90.0,0.0,50.0,28.8
40,1017.1,23.4,21.7,19.6,19.0,88.0,83.0,2.3,40.0,29.6
41,1015.8,21.2,19.4,17.3,17.0,75.0,46.0,4.1,20.0,19.0
42,1013.1,21.4,20.9,19.4,17.8,83.0,88.0,0.0,30.0,20.8
43,1015.2,18.9,17.7,16.9,16.8,90.0,90.0,0.0,60.0,34.2
44,1017.4,16.1,15.5,13.6,11.4,72.0,43.0,8.8,40.0,27.3
45,1016.9,17.5,15.5,14.8,14.6,91.0,91.0,0.0,20.0,33.4
46,1018.1,20.6,16.1,14.2,12.2,79.0,89.0,1.0,20.0,10.7
47,1016.5,21.6,19.2,17.5,19.0,95.0,92.0,0.3,40.0,6.9
48,1016.8,21.3,19.5,17.6,17.6,75.0,70.0,2.2,50.0,16.5
49,1023.6,18.8,16.0,14.8,12.4,72.0,40.0,9.5,20.0,9.8
50,1024.4,17.2,15.6,12.8,8.6,79.0,49.0,9.1,20.0,35.3
51,1016.3,22.3,19.2,18.2,18.5,96.0,88.0,0.3,70.0,9.9
52,1019.6,18.4,17.1,16.0,16.3,93.0,93.0,0.0,70.0,19.0
53,1018.8,22.5,20.1,19.1,16.4,76.0,71.0,6.1,40.0,20.5
54,1016.5,20.6,18.1,17.0,16.3,76.0,88.0,0.0,60.0,39.5
55,1016.8,21.3,19.7,18.2,18.9,95.0,91.0,0.0,40.0,10.2
56,1012.0,20.9,20.9,19.1,14.9,86.0,80.0,1.6,60.0,13.8
57,1020.4,25.9,21.6,19.8,17.0,79.0,70.0,7.8,40.0,24.4
58,1014.4,25.3,21.9,19.1,19.6,86.0,82.0,1.6,40.0,27.3
59,1013.3,22.4,20.5,20.3,17.8,91.0,80.0,0.0,40.0,25.0
60,1018.1,21.3,20.3,19.9,18.9,92.0,88.0,0.0,40.0,28.4
61,1020.4,18.2,15.9,13.5,9.9,84.0,83.0,2.3,70.0,17.2
62,1017.7,20.6,18.1,16.9,17.4,95.0,91.0,0.0,40.0,16.1
63,1017.9,21.3,19.5,18.4,15.5,76.0,72.0,7.2,70.0,25.1
64,1019.4,21.6,19.6,17.0,17.9,69.0,54.0,1.0,50.0,29.6
65,1022.7,14.3,12.8,10.0,8.0,63.0,95.0,0.1,20.0,24.5
66,1020.3,18.4,15.7,14.6,12.6,59.0,88.0,0.0,40.0,27.4
67,1014.2,18.4,18.0,17.2,17.4,97.0,95.0,0.0,40.0,22.9
68,1015.0,17.8,16.0,16.9,16.6,90.0,51.0,9.5,60.0,24.9
69,1014.6,25.1,20.0,19.0,19.5,72.0,47.0,10.8,30.0,28.8
70,1021.4,20.9,18.4,16.9,8.9,75.0,43.0,11.0,20.0,7.4
71,1015.6,25.2,21.8,19.1,19.9,83.0,80.0,3.4,70.0,16.5
72,1018.5,23.0,21.1,20.6,19.6,89.0,88.0,1.4,20.0,8.9
73,1017.1,26.3,23.3,19.2,18.8,84.0,61.0,7.6,70.0,24.8
74,1012.0,23.1,21.6,20.4,19.9,90.0,87.0,0.5,40.0,26.0
75,1012.5,26.1,23.2,21.5,20.1,87.0,88.0,3.7,40.0,28.0
76,1014.0,25.2,23.3,22.3,21.1,89.0,88.0,0.3,70.0,20.0
77,1014.0,24.9,23.1,22.4,22.8,85.0,88.0,3.2,70.0,31.2
78,1013.5,26.9,25.3,24.2,21.9,87.0,85.0,0.3,50.0,26.1
79,1011.4,27.6,20.9,19.0,13.7,77.0,91.0,0.2,40.0,15.4
80,1016.8,26.5,24.8,23.3,22.1,83.0,81.0,1.2,80.0,24.4
81,1019.8,27.6,25.4,24.0,22.3,89.0,84.0,1.6,20.0,18.6
82,1011.0,26.3,24.9,23.0,22.0,81.0,88.0,0.2,40.0,24.4
83,1010.7,24.2,23.0,21.4,17.0,86.0,80.0,1.1,70.0,9.8
84,1008.1,28.1,25.1,23.8,22.8,86.0,83.0,4.4,90.0,17.2
85,1013.0,27.2,24.8,23.4,22.3,90.0,85.0,5.9,70.0,17.2
86,1013.0,27.8,25.8,23.7,20.6,74.0,88.0,0.4,40.0,16.0
87,1012.2,27.1,25.9,24.2,22.6,86.0,84.0,1.6,70.0,17.5
88,1016.8,25.1,23.1,22.9,22.0,87.0,82.0,2.1,70.0,32.5
89,1010.1,27.2,24.8,23.3,21.6,91.0,88.0,0.3,50.0,19.6
90,1014.6,28.2,24.5,22.3,22.0,87.0,81.0,4.8,40.0,8.9
91,1013.1,28.2,24.1,22.0,22.9,89.0,81.0,1.2,70.0,31.8
92,1016.0,26.3,23.9,22.2,20.4,90.0,88.0,0.7,30.0,28.5
93,1015.0,26.2,24.9,22.2,19.8,92.0,85.0,0.2,80.0,28.0
94,1011.4,26.8,24.4,23.6,22.6,91.0,80.0,1.0,220.0,34.2
95,1009.2,28.2,26.7,25.3,23.1,87.0,86.0,0.3,100.0,12.0
96,1008.6,29.1,26.6,25.4,24.2,93.0,85.0,0.9,220.0,19.0
97,1011.4,28.2,24.8,22.3,23.7,84.0,85.0,2.4,90.0,14.7
98,1015.2,25.9,23.4,22.8,21.2,81.0,81.0,3.9,290.0,21.2
99,1017.1,26.9,25.8,25.4,19.7,78.0,85.0,0.3,70.0,18.2
100,1013.0,28.6,26.7,24.3,23.2,87.0,83.0,2.2,70.0,24.0
101,1016.8,29.6,25.8,23.3,22.1,86.0,83.0,3.5,30.0,9.8
102,1013.4,30.2,26.8,24.8,23.4,85.0,78.0,2.1,70.0,24.9
103,1015.8,29.6,26.5,23.7,23.2,86.0,83.0,3.9,170.0,24.4
104,1008.3,28.9,26.9,24.3,24.8,87.0,82.0,1.6,200.0,23.7
105,1008.9,28.0,27.8,25.2,25.2,89.0,88.0,0.4,70.0,34.2
106,1010.3,30.2,26.9,24.2,22.7,84.0,84.0,2.2,230.0,15.1
107,1008.9,31.2,28.0,24.7,25.0,81.0,88.0,0.6,240.0,28.4
108,1011.4,27.6,25.5,24.4,24.8,79.0,80.0,4.5,60.0,12.4
109,1010.1,30.6,28.1,26.8,25.1,89.0,89.0,2.0,130.0,21.4
110,1010.9,30.6,28.7,26.3,25.3,86.0,84.0,2.3,270.0,18.8
111,1009.8,28.7,25.4,23.9,22.1,87.0,84.0,2.9,40.0,14.5
112,1011.4,26.2,24.0,22.4,23.4,82.0,83.0,2.1,70.0,11.9
113,1009.8,28.7,26.7,25.3,24.3,84.0,87.0,0.6,90.0,15.7
114,1008.3,31.0,28.6,26.9,24.9,81.0,83.0,3.0,220.0,9.2
115,1008.8,29.7,25.8,24.2,22.6,89.0,88.0,1.3,20.0,28.8
116,1012.2,25.8,23.7,22.4,22.3,89.0,81.0,1.2,80.0,39.5
117,1011.1,28.2,25.5,23.3,19.3,82.0,81.0,4.3,40.0,31.8
118,1013.5,27.3,25.5,23.3,20.6,73.0,64.0,6.3,120.0,29.6
119,1007.9,31.2,28.1,26.4,24.3,85.0,90.0,3.9,130.0,23.3
120,1006.8,31.0,28.1,26.8,25.0,84.0,84.0,2.6,220.0,14.5
121,1005.9,29.2,27.4,25.5,24.0,89.0,88.0,1.2,130.0,15.8
122,1009.5,30.9,27.1,26.3,24.0,89.0,88.0,1.4,230.0,15.1
123,1010.9,29.8,26.5,24.3,23.3,83.0,85.0,3.5,190.0,14.2
124,1012.0,26.4,24.9,23.2,21.7,84.0,82.0,0.3,70.0,14.0
125,1012.5,27.9,25.8,24.4,23.1,82.0,88.0,1.6,80.0,39.3
126,1008.8,31.0,28.1,26.2,25.0,81.0,80.0,3.7,80.0,20.5
127,1011.4,30.7,27.9,26.4,25.6,89.0,89.0,1.2,200.0,22.5
128,1009.5,30.1,28.9,26.3,24.3,84.0,70.0,3.3,230.0,15.3
129,1011.2,31.6,28.7,26.3,25.4,81.0,88.0,0.1,200.0,26.1
130,1008.7,31.4,28.2,26.1,25.1,82.0,75.0,9.1,120.0,21.8
131,1012.4,31.3,28.8,26.1,22.7,81.0,87.0,2.1,20.0,19.2
132,1008.3,33.0,30.1,28.0,25.1,75.0,68.0,10.0,230.0,19.3
133,1005.9,31.0,28.8,27.3,20.7,77.0,59.0,7.5,70.0,9.8
134,1009.3,32.3,30.2,27.4,25.9,86.0,88.0,0.6,220.0,13.4
135,1006.6,32.0,29.4,27.6,26.0,89.0,88.0,2.5,200.0,26.4
136,1008.5,32.2,29.0,27.0,25.3,79.0,79.0,7.0,220.0,16.4
137,1006.6,32.3,29.6,28.7,25.7,84.0,77.0,6.3,220.0,15.4
138,1008.4,32.6,29.7,26.4,25.7,81.0,69.0,7.8,220.0,34.0
139,1008.0,32.8,29.9,26.7,26.7,89.0,74.0,6.1,230.0,15.8
140,1007.6,32.7,29.0,27.0,26.0,76.0,46.0,10.0,220.0,9.4
141,1009.1,32.8,30.0,26.4,25.2,74.0,28.0,11.1,220.0,19.0
142,1008.5,30.4,27.4,25.3,24.2,74.0,57.0,9.1,220.0,11.9
143,1005.2,31.5,28.3,26.9,25.8,87.0,83.0,6.9,60.0,14.1
144,1008.7,33.0,30.2,28.4,25.7,78.0,53.0,10.0,220.0,10.9
145,1008.7,32.1,29.8,27.5,25.5,81.0,83.0,3.0,130.0,52.8
146,1005.6,32.8,29.0,27.0,25.0,74.0,38.0,11.9,200.0,8.3
147,1008.5,33.3,30.1,28.0,24.3,79.0,69.0,10.7,220.0,7.9
148,1010.3,31.2,28.1,25.8,23.1,79.0,49.0,9.8,20.0,14.5
149,1006.4,34.0,30.1,28.4,25.8,77.0,23.0,10.4,240.0,15.7
150,1009.8,34.4,30.1,28.8,24.7,74.0,29.0,11.4,200.0,12.6
151,1008.9,34.0,30.6,26.7,25.9,81.0,79.0,4.8,220.0,25.0
152,1006.6,33.2,30.8,28.0,25.3,77.0,29.0,11.0,230.0,14.5
153,1009.4,32.0,29.0,27.0,24.5,76.0,44.0,10.7,220.0,40.8
154,1006.8,31.9,29.3,26.2,24.2,81.0,77.0,6.7,210.0,7.9
155,1008.7,32.9,29.1,27.1,25.3,78.0,78.0,9.1,240.0,19.0
156,1005.9,34.7,30.1,28.5,25.4,79.0,88.0,0.4,50.0,15.3
157,1008.1,31.7,28.9,26.2,25.8,81.0,78.0,4.6,230.0,21.9
158,1009.5,30.8,28.9,27.4,25.1,86.0,67.0,5.7,110.0,11.1
159,1008.4,32.6,30.7,28.4,25.4,86.0,78.0,2.3,230.0,14.1
160,1008.1,31.7,29.5,27.5,25.5,84.0,63.0,8.9,130.0,14.0
161,1007.5,32.0,30.1,29.0,25.6,84.0,88.0,1.5,220.0,29.2
162,1006.6,31.0,29.3,27.1,25.3,79.0,77.0,4.6,220.0,13.9
163,1006.9,32.2,29.0,27.6,25.3,82.0,78.0,6.6,220.0,14.5
164,1009.9,32.6,29.7,27.4,26.1,79.0,73.0,9.4,210.0,31.9
165,1007.9,33.0,30.1,27.8,25.8,78.0,67.0,10.6,220.0,14.5
166,1008.4,31.2,29.0,27.2,25.3,90.0,77.0,2.7,130.0,9.1
167,1007.2,33.2,29.6,26.9,25.0,85.0,88.0,2.4,240.0,25.1
168,1002.5,33.5,30.0,27.8,26.0,89.0,88.0,2.0,220.0,10.9
169,1006.3,29.1,27.9,26.6,25.8,89.0,88.0,0.5,230.0,20.9
170,1003.8,33.1,30.1,27.1,26.1,80.0,83.0,0.5,220.0,27.9
171,1002.8,33.7,30.0,26.1,24.7,89.0,78.0,2.1,220.0,9.2
172,1009.9,35.2,30.0,28.5,24.7,78.0,44.0,10.1,240.0,12.4
173,1006.8,31.6,29.2,27.3,25.3,86.0,86.0,1.0,80.0,31.2
174,1009.3,31.2,28.1,26.2,25.3,78.0,47.0,9.1,200.0,17.2
175,1007.5,32.8,30.1,28.0,25.6,79.0,72.0,7.1,220.0,30.3
176,1008.6,32.9,29.7,27.4,25.8,91.0,87.0,0.2,230.0,26.3
177,1008.4,32.0,29.4,27.5,26.2,82.0,84.0,6.4,230.0,16.9
178,1007.9,30.6,28.4,26.7,25.8,82.0,84.0,1.3,200.0,14.5
179,1006.8,31.2,29.0,26.1,25.4,80.0,88.0,1.2,190.0,26.4
180,1008.4,29.0,28.2,26.8,25.0,84.0,88.0,0.5,190.0,19.8
181,1010.6,31.1,28.9,26.7,25.6,84.0,84.0,4.4,190.0,16.5
182,1008.8,30.3,28.4,26.8,25.4,79.0,88.0,0.3,230.0,14.5
183,1006.7,31.2,28.4,26.8,25.2,79.0,78.0,4.4,220.0,16.3
184,1003.8,30.8,27.9,26.5,24.8,81.0,84.0,2.0,220.0,11.9
185,1008.5,32.0,30.7,28.4,25.8,77.0,72.0,7.7,220.0,10.0
186,1008.1,31.7,28.9,26.9,25.3,86.0,82.0,2.2,220.0,20.0
187,1008.9,31.2,28.2,26.8,26.0,87.0,83.0,3.0,220.0,14.3
188,1008.1,33.0,30.0,28.4,25.3,84.0,69.0,0.4,220.0,14.3
189,1008.4,33.0,30.0,28.1,25.5,81.0,51.0,6.9,220.0,18.0
190,1008.9,32.4,30.7,28.0,25.0,79.0,67.0,7.0,220.0,10.9
191,1006.9,33.3,30.3,26.7,26.4,79.0,88.0,3.0,200.0,20.5
192,1006.8,33.0,30.4,28.0,25.5,76.0,38.0,10.9,220.0,15.8
193,1008.1,33.9,30.0,28.0,26.4,84.0,61.0,9.1,160.0,8.6
194,1009.8,32.5,30.7,28.3,25.5,75.0,40.0,11.2,270.0,6.6
195,1005.9,34.1,30.2,28.1,25.5,78.0,41.0,8.3,10.0,13.6
196,1005.4,33.3,30.0,26.3,24.3,81.0,47.0,8.2,220.0,12.8
197,1006.5,32.7,30.3,28.3,24.1,74.0,61.0,10.0,200.0,23.5
198,1006.7,33.5,30.5,28.7,26.4,79.0,78.0,5.5,230.0,9.1
199,1001.0,32.9,30.2,28.2,25.8,78.0,38.0,11.1,230.0,16.3
200,1007.9,32.0,30.6,28.4,25.9,81.0,78.0,9.1,230.0,25.5
201,1011.4,31.2,28.3,26.3,25.3,80.0,43.0,9.5,220.0,9.8
202,1008.4,31.8,28.8,26.7,24.5,81.0,78.0,2.2,200.0,11.2
203,1008.1,32.4,29.0,26.5,26.3,84.0,83.0,6.7,190.0,15.3
204,1008.9,30.6,28.4,26.6,25.0,81.0,88.0,0.3,220.0,11.3
205,1008.9,29.4,27.2,26.6,25.6,89.0,83.0,0.3,180.0,10.0
206,1004.8,31.1,28.7,26.7,25.4,78.0,79.0,3.8,210.0,13.8
207,1004.2,31.2,28.0,26.5,25.9,89.0,84.0,0.3,220.0,17.3
208,1008.9,32.9,29.6,26.4,26.6,83.0,82.0,3.5,280.0,9.2
209,1008.1,30.6,28.6,26.3,25.3,82.0,87.0,2.0,200.0,20.5
210,1008.1,32.9,29.9,28.6,26.3,81.0,78.0,5.0,250.0,21.9
211,1006.5,30.6,27.4,24.9,25.0,84.0,88.0,2.1,190.0,21.9
212,1010.5,30.6,28.3,26.6,25.9,85.0,82.0,2.9,300.0,21.9
213,1008.4,32.7,30.4,28.1,25.2,74.0,43.0,10.0,300.0,13.8
214,1007.9,31.2,28.1,26.9,25.8,82.0,84.0,2.2,220.0,24.5
215,1008.3,33.0,30.0,27.4,24.2,75.0,43.0,9.3,220.0,23.2
216,1007.5,30.8,27.2,25.5,23.2,75.0,78.0,3.5,90.0,13.9
217,1005.6,31.6,28.3,26.4,25.4,81.0,84.0,2.5,220.0,23.7
218,1008.5,31.5,28.1,25.7,25.5,74.0,75.0,7.6,230.0,10.9
219,1007.8,30.1,28.1,26.1,25.1,84.0,83.0,2.5,230.0,20.3
220,1007.8,32.9,29.6,26.5,25.8,89.0,88.0,1.1,220.0,13.2
221,1005.9,28.6,26.8,25.4,25.4,90.0,88.0,0.5,230.0,19.2
222,1008.5,29.1,28.3,27.4,24.3,85.0,88.0,0.2,230.0,15.3
223,1005.9,31.8,28.8,26.7,25.0,79.0,67.0,6.7,240.0,7.3
224,1010.7,29.6,26.9,24.5,24.1,87.0,84.0,6.0,220.0,9.1
225,1012.0,29.6,27.1,25.8,23.8,76.0,50.0,8.8,60.0,14.3
226,1012.0,29.4,27.7,25.4,25.9,81.0,86.0,2.4,40.0,13.8
227,1011.6,33.7,29.1,26.9,23.2,85.0,84.0,5.8,230.0,11.0
228,1008.5,30.6,27.8,25.7,25.4,91.0,81.0,3.7,220.0,23.2
229,1007.3,31.8,28.1,24.5,25.4,85.0,88.0,0.6,230.0,11.7
230,1011.4,30.2,27.8,26.5,23.1,76.0,54.0,10.0,50.0,13.3
231,1010.6,30.8,28.1,26.1,25.8,84.0,58.0,9.9,100.0,29.0
232,1009.2,29.2,26.8,25.5,23.1,75.0,62.0,6.9,10.0,12.1
233,1010.9,28.6,26.1,25.4,23.4,89.0,87.0,0.3,40.0,11.7
234,1012.2,28.1,25.8,24.5,23.2,86.0,83.0,3.6,80.0,23.7
235,1011.4,31.4,28.1,26.8,23.7,75.0,56.0,10.0,70.0,32.5
236,1009.8,32.0,27.6,25.3,22.3,75.0,80.0,8.0,220.0,8.3
237,1013.0,30.4,28.7,26.4,25.3,83.0,79.0,2.0,220.0,29.8
238,1009.1,31.8,28.0,26.8,25.0,89.0,80.0,2.0,120.0,14.5
239,1013.6,28.1,26.0,25.1,22.2,79.0,51.0,2.0,80.0,17.5
240,1014.8,32.8,28.1,26.7,23.5,78.0,44.0,8.4,130.0,34.2
241,1014.4,31.3,28.1,26.0,23.3,82.0,88.0,0.2,230.0,22.9
242,1013.7,28.7,27.8,25.3,23.3,79.0,60.0,9.1,60.0,17.2
243,1013.3,29.3,27.9,25.0,25.8,83.0,84.0,3.1,110.0,9.6
244,1007.9,30.8,28.6,26.3,25.3,87.0,87.0,4.1,230.0,25.9
245,1008.1,31.1,28.1,26.2,24.5,79.0,62.0,7.7,60.0,12.5
246,1007.1,31.6,29.4,26.0,25.8,84.0,82.0,7.6,160.0,16.5
247,1005.8,30.3,27.5,25.9,22.1,77.0,86.0,1.2,220.0,11.7
248,1005.7,31.7,28.4,26.9,25.6,82.0,86.0,1.8,190.0,21.6
249,1007.6,30.6,27.4,26.4,25.3,78.0,47.0,10.0,220.0,9.2
250,1015.0,29.8,27.9,26.5,23.2,76.0,78.0,6.2,10.0,11.0
251,1014.8,31.2,28.4,26.8,26.1,86.0,77.0,3.8,30.0,12.6
252,1013.0,31.1,28.9,25.8,20.6,75.0,54.0,10.0,60.0,14.5
253,1007.7,32.0,29.1,26.7,25.0,75.0,78.0,2.3,10.0,17.2
254,1008.2,32.3,29.6,27.9,24.2,78.0,69.0,6.8,20.0,11.8
255,1010.2,29.2,27.0,25.7,25.4,79.0,67.0,4.5,80.0,44.7
256,1013.0,31.2,28.7,26.3,26.3,91.0,88.0,1.8,70.0,26.7
257,1015.1,30.3,27.7,24.7,25.6,81.0,69.0,2.6,90.0,25.1
258,1015.0,28.6,26.6,24.8,23.6,83.0,84.0,3.6,20.0,37.5
259,1013.5,28.9,26.5,24.8,20.6,76.0,54.0,4.5,80.0,16.7
260,1013.2,27.8,26.6,25.8,25.2,90.0,84.0,1.2,120.0,27.3
261,1004.9,28.4,26.2,24.7,24.4,84.0,83.0,3.6,20.0,29.8
262,1010.5,27.8,25.8,24.3,21.2,73.0,47.0,6.8,70.0,21.9
263,1017.0,28.9,25.5,24.5,23.4,82.0,66.0,2.0,70.0,34.2
264,1017.8,29.7,27.9,25.6,25.4,77.0,61.0,8.4,190.0,13.2
265,1016.4,28.7,25.6,20.5,24.7,84.0,88.0,3.1,80.0,37.9
266,1017.9,28.0,26.5,24.9,23.4,82.0,77.0,8.5,200.0,23.9
267,1008.3,22.5,20.8,19.6,18.6,73.0,21.0,10.0,60.0,38.3
268,1017.1,27.2,25.5,24.4,21.4,82.0,65.0,8.6,80.0,35.1
269,1010.3,27.8,25.4,23.7,23.5,89.0,89.0,0.1,60.0,50.6
270,1018.1,28.1,27.1,25.4,25.1,90.0,81.0,1.6,180.0,52.8
271,1017.7,28.8,26.4,24.5,16.9,79.0,43.0,9.3,80.0,24.4
272,1018.9,26.1,23.7,21.0,22.0,90.0,81.0,3.0,60.0,13.8
273,1014.8,24.5,23.1,22.7,22.9,90.0,94.0,0.0,30.0,50.7
274,1016.5,25.3,21.3,20.8,19.6,78.0,61.0,3.3,70.0,22.0
275,1016.4,28.4,26.1,25.1,23.0,85.0,84.0,6.0,80.0,15.2
276,1018.0,22.3,21.3,20.4,20.9,89.0,88.0,0.0,20.0,21.4
277,1016.0,27.4,24.9,22.2,20.3,81.0,78.0,5.8,90.0,35.3
278,1016.8,28.1,25.0,23.7,20.3,70.0,78.0,5.3,60.0,16.4
279,1017.1,29.2,25.7,23.4,19.4,78.0,65.0,8.8,60.0,27.3
280,1014.1,28.2,25.3,23.2,22.1,76.0,46.0,8.8,40.0,10.9
281,1017.7,28.2,25.6,23.4,21.6,82.0,70.0,7.6,80.0,10.0
282,1016.8,26.2,24.3,21.0,22.2,83.0,81.0,0.7,30.0,11.0
283,1019.5,27.9,25.8,24.7,23.1,83.0,88.0,0.9,80.0,10.2
284,1019.8,26.8,23.1,21.2,20.1,78.0,79.0,8.2,80.0,25.1
285,1020.6,26.3,24.3,22.5,19.3,70.0,47.0,7.1,20.0,28.3
286,1017.3,26.4,24.5,23.9,22.3,79.0,79.0,3.1,60.0,22.9
287,1019.5,25.3,23.7,22.3,18.8,79.0,83.0,3.5,70.0,15.3
288,1015.2,26.3,24.5,23.7,19.9,73.0,49.0,7.1,70.0,16.0
289,1014.9,26.3,23.3,20.1,17.4,75.0,83.0,3.0,40.0,22.0
290,1017.1,27.9,25.3,24.1,22.9,84.0,78.0,1.0,40.0,14.6
291,1017.1,26.0,24.9,22.3,22.2,81.0,84.0,2.4,70.0,12.0
292,1012.2,28.9,24.0,21.6,23.5,81.0,78.0,6.5,50.0,36.0
293,1012.5,26.3,25.7,24.4,22.8,76.0,66.0,3.2,80.0,24.9
294,1015.2,27.1,25.0,23.7,20.7,78.0,58.0,9.4,50.0,15.5
295,1017.1,25.1,24.7,23.1,21.4,85.0,81.0,0.0,80.0,25.9
296,1019.4,27.8,23.3,21.6,16.7,92.0,88.0,0.1,60.0,11.0
297,1014.7,28.4,25.5,24.0,23.4,89.0,84.0,3.1,60.0,19.8
298,1015.1,26.2,25.4,24.4,23.6,91.0,88.0,0.1,40.0,39.5
299,1016.1,29.7,26.3,24.1,23.1,86.0,70.0,5.0,70.0,16.0
300,1014.7,29.8,25.1,22.1,23.7,82.0,79.0,6.9,80.0,14.6
301,1015.2,27.8,25.5,24.4,23.6,86.0,88.0,1.2,50.0,8.7
302,1016.1,26.8,24.6,23.1,19.9,91.0,83.0,4.5,50.0,9.9
303,1017.1,29.9,25.6,24.4,19.3,93.0,88.0,0.4,40.0,9.1
304,1016.7,25.9,24.8,23.1,21.4,81.0,84.0,1.1,80.0,14.5
305,1015.3,28.9,26.6,23.5,23.5,85.0,88.0,2.0,80.0,9.8
306,1014.4,27.9,25.4,23.4,21.6,86.0,88.0,0.6,70.0,14.7
307,1015.1,26.2,25.5,23.6,20.5,91.0,81.0,0.8,40.0,16.4
308,1016.7,29.1,25.4,23.7,19.3,75.0,46.0,9.1,60.0,7.9
309,1017.5,25.3,21.6,19.7,19.6,82.0,84.0,0.1,70.0,43.8
310,1016.7,23.3,20.9,18.2,17.4,90.0,84.0,2.4,50.0,20.5
311,1014.5,22.4,19.3,17.6,13.5,67.0,72.0,6.1,70.0,35.3
312,1015.1,21.3,18.9,17.2,15.8,86.0,80.0,1.2,70.0,12.8
313,1020.8,21.4,19.9,17.2,12.9,73.0,82.0,2.4,20.0,39.5
314,1015.2,21.3,19.3,18.9,18.9,93.0,85.0,0.7,40.0,14.5
315,1017.9,20.5,20.4,19.9,18.1,88.0,83.0,3.1,70.0,22.9
316,1018.6,26.7,24.8,22.1,21.4,92.0,90.0,0.2,40.0,19.2
317,1018.7,23.2,22.5,20.0,20.4,93.0,93.0,0.5,70.0,38.3
318,1019.7,22.1,20.6,19.3,19.1,90.0,87.0,0.0,50.0,29.8
319,1018.9,19.2,20.9,19.2,19.4,78.0,38.0,5.7,80.0,36.0
320,1017.5,25.2,21.6,16.9,18.6,75.0,44.0,6.7,60.0,28.9
321,1017.7,19.0,17.7,16.9,15.5,77.0,82.0,0.5,70.0,35.8
322,1019.9,25.8,21.8,20.2,18.4,86.0,89.0,3.4,50.0,22.0
